index,SAM,sCC,CC,HPSI,SSIM,PSNR,RMSE,ERGAS,UIQC
0,2.5840864,-0.20996041931835716,-0.026519499615066024,0.9987617747056632,-0.00077258743,-26.410040577144336,0.003954854159724934,5785.4966353655545,0.0005310610942677314
1,2.5870538,-0.24484726579232072,-0.021846751563572308,0.9988855716828332,-0.00085203745,-26.35692356697639,0.0039549256795037395,5677.246378322297,0.0004735679813758637
2,2.5895748,-0.22720629265666026,-0.028613862808556642,0.9989547182937243,-0.00066887314,-26.291975562342383,0.003954991678923855,5575.878982055728,0.000495558077231137
3,2.5905774,-0.24341336589220686,-0.007376853495594742,0.9990013741276895,-0.0006405539,-26.084004795862548,0.0039550114555391164,5537.021228106958,9.897765706561355e-05
4,2.5849295,-0.21938004261888824,-0.007737876865054918,0.9990118435001295,-0.00074520375,-26.254994009938702,0.003954871177410141,5752.123774662191,-8.085609801805445e-05
5,2.591901,-0.13387190965385545,-0.16940259734726845,0.9988505452018545,-0.00075856916,-25.06837112411055,0.003954765160637789,5575.331080489529,0.0003747303793030964
6,2.5835936,-0.06943080662306517,-0.09047238074986504,0.9993086262838813,-0.00013087597,-25.45202348944308,0.0039546830589286645,5796.065976246442,0.00024317055690685732
7,2.5829341,-0.107434493443426,-0.1279287126297667,0.9992722236677604,-0.00028965579,-25.004189399262636,0.003954703986977167,5842.55086060897,0.00041472909459637416
8,2.5776837,-0.10143565400445147,-0.0930032113952763,0.9987779405003262,-0.0016982326,-25.397789400598928,0.003954622803928796,6051.093770299248,0.0003747206712508615
9,2.5802112,-0.16908057559676523,-0.2406499650196652,0.9991417788720184,-0.00052312564,-25.422025607732568,0.003954543689099771,6120.289216443663,0.000582772190148411
10,2.568939,-0.09546392127686398,-0.11038331862516582,0.9993747870465608,-0.00024739906,-24.164024685937218,0.00395431921515461,6483.193626067329,0.00039616260325286284
11,2.5524879,-0.1404487217566521,-0.27190591547240345,0.9989372767565209,-8.418219e-05,-24.616344669223523,0.003953674931759266,7572.974293667612,0.0005558605481505158
12,2.5559893,-0.1597350238427059,-0.12544098154695846,0.9989366375681028,-0.0008312057,-25.821997696532726,0.003954115889640595,7159.076665654394,0.0004569368957637107
13,2.5814862,-0.20029684948616663,-0.027320328663256645,0.9990253528417825,-0.00052851654,-26.22220002793609,0.003954764700688985,5899.019794351997,0.00028555631818095675
14,2.5911021,-0.24078201481002318,0.025886594920921515,0.9989242630071146,-0.001132172,-26.14037312284454,0.003954971672247328,5550.704404682396,-0.00048229072865630534
15,2.5845888,-0.1358082072390147,-0.031184025651914433,0.9993083507236691,-0.00026436863,-25.3404801118824,0.0039548044860628,5764.449693537597,0.0001081490765579721
16,2.5836992,-0.07893900358992689,-0.12369129418896513,0.9994372716738322,-0.00023624378,-24.453066118067138,0.003954677769404366,5812.442249065293,0.0004083124166928086
17,2.5621724,-0.13243015615658982,-0.10561823387596003,0.9991543541765401,-0.00033770138,-26.170736674029534,0.003954287934986789,6771.609990991229,0.0004275490405182683
18,2.5676954,-0.1714931005472369,-0.1837201251899723,0.9992325274659287,-0.00013353628,-25.23449319610271,0.003954295985053624,6480.440046539856,0.00036709908953692303
19,2.6064312,-0.17642873435125017,-0.2668307875188291,0.9987334759342609,-0.00016858931,-24.183838343719106,0.00395467362977172,5226.194637458,0.0004746981747875969
20,2.5769403,-0.12399631338547823,-0.2641159097076434,0.9989285788632729,-0.0010293878,-25.172699995142413,0.003954147401179743,6365.730607728851,0.0004959466970744989
21,2.576911,-0.18617716204831095,-0.2174091512548809,0.9988680322951667,-0.00073482894,-24.606176723560328,0.003954599805595162,6191.31315373209,0.0005794913839124281
22,2.5813532,-0.2020932450784575,-0.32870201718060327,0.9988538465401979,-0.00017273489,-25.05478458371108,0.003953448107977356,6834.933744802591,0.0006195007394209152
23,2.584709,-0.19830189382523944,-0.012128601525859478,0.9989874333766731,-0.00069670886,-26.29020108951513,0.00395483001288377,5799.058577519788,0.00041155187176760127
24,2.5921857,-0.21955801006506728,0.007914286622768699,0.9989114682144529,-0.0009004628,-26.301421475471084,0.003955005706533247,5518.439382713833,-3.059334682497015e-05
25,2.6096926,-0.11510363685894874,-0.17592761352995637,0.9989694916767474,-0.00010849814,-24.387289069684527,0.003954820584077197,4971.531748882134,0.00030974666653384636
26,2.5742228,-0.06018497604838435,-0.09016814814488135,0.9993239556978647,-0.00021191181,-24.8519612768754,0.003954376944814601,6157.777264521051,0.00023466228150521894
27,2.556281,-0.09908918126420023,-0.13928699543664766,0.9992608949397911,-0.00018219442,-25.80681672162723,0.0039540165231427525,7140.562475618349,0.0004347953455495596
28,2.568287,-0.09179966360739822,-0.12031495344999273,0.9993822256841263,-0.00010872348,-25.46396984931373,0.003954359695004488,6473.232610539958,0.000349471471636683
29,2.6642284,-0.19006901459836803,-0.3125498966157186,0.9984025620325184,-0.00015960103,-23.312812882598454,0.003955106197952199,4190.679911330536,0.0004992026048283802
30,2.6138573,-0.19335709612953436,-0.30255433592804254,0.9991770906035423,-0.0004347444,-24.10163023486831,0.003954867267948397,5097.498808566884,0.000533127274937344
31,2.5713968,-0.22042313301661307,-0.30507647287358425,0.9989235968171097,-0.00021911383,-25.55130265351188,0.00395431438514485,6499.910398040998,0.000560529947046439
32,2.559044,-0.13574384099122427,-0.074020912440269,0.9990388739017364,-0.0010871863,-26.407449203533446,0.003954209503477968,7009.934862377559,0.0009727040875073737
33,2.5808446,-0.2029050942606895,-0.014362100647709554,0.9991435189507284,-0.00047982766,-26.16591874217477,0.003954730664328976,5957.378238750185,0.00024765278309219895
34,2.596101,-0.19951403322964123,-0.1040173357385536,0.9958859568474977,-0.0009858897,-26.681689814010507,0.003955147359604081,5377.834085330618,0.000627666990652223
35,2.586313,-0.07179200647056368,-0.13432243741571012,0.9993473301703324,-0.00023109709,-25.654409388211402,0.0039548412814279935,5722.991792780189,0.00047272670903627075
36,2.5810103,-0.16605041022193182,-0.13126462036451567,0.9988950553258481,-0.0003625038,-25.41986644703561,0.00395476033117267,5909.743530909867,0.0005015692988950389
37,2.6101384,-0.20318206866846053,-0.3284852536325325,0.9989853166091738,-2.4919427e-05,-24.1072830803996,0.003954825183497846,5200.287923078734,0.0005247743816926051
38,2.5672343,-0.14224154546649917,-0.2971183274278486,0.9991371257125188,-0.00030579654,-24.78009631096919,0.003953929575408667,7003.22512882726,0.0006134377607068728
39,2.5562353,-0.1491076625409853,-0.05633240464606065,0.9987038571057025,-0.0013270034,-25.951521314727096,0.003954065746673702,7272.441097369357,0.000765551874707877
40,2.5826466,-0.23397503605401235,-0.011407949814307044,0.9989019817940461,-0.0009780523,-26.250847151280993,0.0039548017263966095,5858.353196924098,0.00022306060508242324
41,2.6165805,-0.10550851282723357,-0.2525750303804322,0.9990539592277019,-3.758629e-05,-23.774413718989127,0.003954778729103469,4927.184684750138,0.0004419139980809094
42,2.5800712,-0.1077230914147842,-0.13472630136212185,0.9990747363855479,-0.00025872793,-24.057999248432758,0.0039546692601547815,5881.90902603125,0.00032997559748978994
43,2.5745947,-0.1383780556839936,-0.06372473431436441,0.9992310882185506,-0.00035270196,-26.222719905502146,0.003954586236515583,6191.5894029424735,0.0003365217673641707
44,2.552197,-0.17921344217427393,-0.04691819649162591,0.9991272674848958,-0.0004345714,-25.76479129410494,0.003954030094177422,7361.168999891612,0.00028236852012881433
45,2.5626361,-0.09406736175201218,-0.1629431278393741,0.9991804973337155,-0.00019704993,-24.751210725035513,0.003954002952061504,6814.766794678316,0.00036655694071755917
46,2.6015546,-0.11740729546733952,-0.18057319253169948,0.9990445961280056,-0.00016699372,-25.97253509070654,0.003955157937389568,5265.336782544741,0.0005189780174901361
