index,SAM,sCC,CC,HPSI,SSIM,PSNR,RMSE,ERGAS,UIQC
4545,0.021802992,0.8692893357787442,0.8295959026204072,0.9989459429128065,0.7575383,26.04254495541425,0.00025214511955089057,1.689055200294454,0.6187115367752698
4546,0.023342777,0.8525964683308915,0.834639084105536,0.9997564559431962,0.59253305,22.218632138388806,0.0004038861045276282,2.746391111067374,0.6210050708399711
4547,0.021628754,0.8912299216561053,0.8763768906872959,0.9998951909775198,0.6101918,23.003121920680037,0.00023270463251505387,1.5774667935026985,0.6566650224695257
4548,0.020129252,0.7602031036065676,0.5735625976767357,0.9997695290386981,0.34475705,19.854039291484458,0.00018092616590981625,1.2125757394878998,0.3939908778014446
4549,0.022917155,0.9364007921515292,0.9344890778548683,0.9999004470852417,0.70447904,23.866595994100965,0.0002730539325491042,1.852369356923159,0.6990424191713082
4550,0.019743117,0.8896694295945795,0.8433315186821363,0.9998269034063456,0.38207164,20.988392237430794,0.0001761460459804643,1.1697087481100423,0.6312155055411917
4551,0.024807572,0.9197148886671828,0.8999098678969927,0.9997443182675426,0.47929168,22.104711961225103,0.0004678094989606182,3.157604559809901,0.6747435796907061
4552,0.024098145,0.9342021299102877,0.9154664887020106,0.9998484837267111,0.5950377,23.139722035965328,0.0004094582102622271,2.799765973949953,0.6858039886457791
4553,0.020502413,0.6458767757675188,0.1971702083872684,0.9996804537084645,0.20727426,17.545033910982625,0.0001888453688573491,1.264482589598938,0.12688046931427857
4554,0.020215241,0.6419460749034158,0.04641873259354542,0.9996565654664257,0.23071496,18.054162837123467,0.000180966032948385,1.2101220445809338,0.024385295986355828
4555,0.020285582,0.843888722799246,0.6016465628776502,0.9996322221612989,0.2926626,19.08693300514447,0.00018052089081439316,1.2072502829902025,0.43635707863692713
4556,0.020246794,0.8081403165289186,0.6834399173918201,0.9993128890174008,0.640399,25.14300582462174,0.00018911149560125223,1.2622360375028634,0.5028717463043433
4557,0.03242453,0.912982214561561,0.8996393573050199,0.9993618366490533,0.6766684,22.808173955861605,0.0006410802278193525,4.593348162620741,0.6743682600652511
4558,0.023038652,0.9010479740591445,0.8866374926049416,0.9998700392252388,0.71355385,23.991423839583987,0.0003617180341353786,2.457198491758654,0.6644163229025015
4559,0.02141207,0.863205335666319,0.8419671877483315,0.9998356400818756,0.57044154,22.457653111434936,0.00021653746453738405,1.4657440212989374,0.6305566763075436
4560,0.02052758,0.8002135965733862,0.7335832565412712,0.9997830690295346,0.32138324,19.033951551599575,0.00018679400525733542,1.2554481441703822,0.5226865869174967
4561,0.02009597,0.9517710358816243,0.9455688454988319,0.9998512447738629,0.5602973,23.117550985255676,0.0002292381542359834,1.5388026672210853,0.7086076035020937
4562,0.02024891,0.8340637477806062,0.7715052573644213,0.9997807875624017,0.40905973,20.172824753789396,0.00021372255879736627,1.4323830852486588,0.578175355197844
4563,0.021354092,0.7726649661604522,0.770504223814395,0.9999177190122357,0.38631698,19.263112960403703,0.0002104505381630883,1.4261666665252457,0.5759437257031743
4564,0.022143692,0.8037738383252083,0.7718607337282862,0.9998337504196464,0.8113144,26.81646393512352,0.0003054327064873314,2.05673935986992,0.5720928258693649
4565,0.029894382,0.8482744637824443,0.8467056259354117,0.9995823169261671,0.69439334,22.119468674943686,0.0005807480921915253,3.974318080155036,0.6346477148394765
4566,0.023377659,0.9282364697685157,0.9178759464753722,0.9998042716581969,0.76619107,24.511772952776383,0.0004038500379823383,2.727130853122777,0.6874022261945019
4567,0.019922066,0.8800911775339326,0.80772527400438,0.9999003511439634,0.5491803,23.68092236379685,0.00018934500659194213,1.261308342700998,0.5851348857455769
4568,0.02103128,0.7739767776821895,0.6756390181563042,0.999528354773446,0.72467667,25.049850418532262,0.0003656827489283727,2.449318331539376,0.5062826785984672
4569,0.02135404,0.6246218425077007,0.47866224184302125,0.9993471084042544,0.31046712,19.533245483748164,0.0002627220074732111,1.756813295276361,0.35854726735500336
4570,0.020197408,0.624956067615165,0.0429063708680956,0.9994799899825532,0.19792348,17.818315397935958,0.00018981858794325232,1.268706802046571,0.02742286395582172
4571,0.020414457,0.7852053953094011,0.4615629692217504,0.9995378247315958,0.3000378,19.906460661768037,0.00019030019472382345,1.2715669269870828,0.34213882572560406
4572,0.023973655,0.7342158025627245,0.6991686127802423,0.9995526365485349,0.6761482,22.7726707974865,0.00042390437843148793,2.873279190030527,0.5226496233710838
4573,0.020313466,0.8578047564938912,0.7821319756834493,0.9995353113096185,0.39807963,20.799714106544954,0.000179437751220777,1.1984157684721857,0.5860836321443156
4574,0.02023599,0.8087821536321093,0.7230490709655814,0.9997973120883565,0.30051097,18.53131241056424,0.000184718967783264,1.2386172779959332,0.514690909146227
4575,0.020470815,0.8846733701613863,0.8704884189253682,0.9996944151433463,0.5205156,21.077325752704436,0.0002527568537847005,1.6925343982979684,0.6517344351545258
4576,0.021510916,0.8105299334308486,0.7759392306094752,0.9996179372402463,0.5834128,23.035328779132346,0.0002643661870763326,1.7778966098002509,0.5802592137964602
4577,0.022538107,0.9732427929250758,0.9693124343855647,0.9998624790540587,0.7216479,26.27481063013114,0.0002898101277352398,1.990061961138619,0.7260996251776868
4578,0.021894362,0.8622810763198198,0.8766747794861187,0.9997963408350001,0.7210466,25.152878061316805,0.00025795189377016397,1.7510242153309596,0.6561875759573872
4579,0.029860947,0.7775018142515777,0.737283359839861,0.9992841918104867,0.66665214,22.05519780458595,0.000748051960504891,5.162254383338842,0.5523472686114326
4580,0.026914258,0.6420372169420498,0.5707141428745846,0.9993442887680049,0.6960535,21.5248449459291,0.0006912811332734995,4.654034634950112,0.4276367914253488
4581,0.020247985,0.9084792044932056,0.850212841617758,0.9997988145366933,0.42125654,20.973203735481366,0.00018358274133122813,1.2350554072014905,0.6364752507416555
4582,0.020528255,0.5547309735335944,0.12112790562880076,0.9994164609912781,0.24419415,18.79860725181483,0.00020232131823538064,1.353695546015656,0.08870465380330611
4583,0.019988276,0.6581683093238954,0.20872224334874012,0.9997239548999193,0.20677857,18.407367734242946,0.00018839686542676087,1.2566146173377173,0.14736391801186255
4584,0.020202193,0.6355568451453371,0.05772868274293555,0.9995821531360526,0.20497614,18.255005177233954,0.00018796498383049054,1.2533233325928128,0.03829933332890796
